Key,Left_Value
1,575
2,801
3,733
4,657
5,675
6,229
7,921
8,462
9,804
10,918
11,792
12,391
13,470
14,893
15,128
16,248
17,878
18,395
19,110
20,611
21,775
22,212
23,286
24,906
25,843
26,326
27,409
28,197
29,154
30,722
31,763
32,857
33,505
34,168
35,411
36,388
37,861
38,647
39,850
40,247
41,566
42,838
43,343
44,590
45,948
46,606
47,464
48,581
49,300
50,253
51,549
52,600
53,172
54,812
55,395
56,116
57,740
58,316
59,160
60,715
61,141
62,124
63,138
64,902
65,230
66,597
67,328
68,207
69,271
70,534
71,577
72,201
73,965
74,623
75,374
76,712
77,143
78,916
79,116
80,429
81,668
82,922
83,596
84,914
85,111
86,417
87,691
88,315
89,438
90,875
91,760
92,180
93,826
94,584
95,473
96,809
97,299
98,636
99,565
100,188
