Key,Right_Value
67,4564
22,2389
69,8274
103,1824
63,3265
38,1936
61,7402
106,4845
96,2796
27,9245
2,8214
19,1726
58,3736
51,2913
115,8657
8,3466
99,8312
6,9194
11,8906
36,5876
41,8287
119,1892
57,5675
104,2933
88,2380
28,2290
98,2640
76,8490
81,2218
21,6016
100,7881
54,1954
97,8291
84,1974
75,5133
80,6370
94,4972
92,6295
83,9228
1,4020
5,9987
20,5036
56,6068
74,6233
65,1317
110,3396
112,3162
50,3745
108,2591
44,7183
53,4930
49,2312
29,5311
52,8314
46,3383
77,4239
35,3139
64,2704
111,7924
90,1362
62,3604
73,5286
68,4738
89,3469
30,5795
34,7150
70,1556
78,3808
66,6150
42,8561
114,3719
33,7506
13,4741
25,4998
4,3403
118,9780
91,1294
55,6343
40,2136
43,3064
37,8009
3,5543
45,2007
60,6445
24,6352
31,2435
101,1571
107,3382
95,6084
18,1277
39,8059
82,2887
93,2265
87,8491
117,2040
72,9073
48,3752
9,9213
102,5569
79,7353
