Sub-Category,Sales,Profit,Quantity
Accessories,167380.318,41936.6357,2976
Appliances,107532.16100000001,18138.005400000002,1729
Art,27118.792,6527.787,3000
Binders,203412.733,30221.7633,5974
Bookcases,114618.0363,-3514.4696,866
Chairs,327717.163,26370.5843,2353
Copiers,149528.03,55617.8249,234
Envelopes,16476.402,6964.1767,906
Fasteners,3024.28,949.5182,914
Furnishings,91705.164,13059.1436,3563
Labels,12486.312,5546.254,1400
Machines,189238.631,3384.7569,440
Paper,78479.206,34053.5693,5178
Phones,330007.054,44515.7306,3289
Storage,223843.608,21278.8264,3158
Supplies,46673.538,-1189.0995,647
Tables,206965.532,-17725.4811,1241
